phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6426449,http://www.ebay.co.uk.20912887347.bid/,http://www.phishtank.com/phish_detail.php?phish_id=6426449,2020-03-01T05:00:42+00:00,yes,2020-03-01T05:02:09+00:00,yes,Other
6426447,http://secure.bankofamerica.com-login-sign-in-signonv2screen.go.suzukihaiphong.com.vn/final,http://www.phishtank.com/phish_detail.php?phish_id=6426447,2020-03-01T05:00:36+00:00,yes,2020-03-01T05:01:13+00:00,yes,Other
6426446,https://ebay.co.uk.20912887347.bid/ws?ebay/client_id=*,http://www.phishtank.com/phish_detail.php?phish_id=6426446,2020-03-01T05:00:32+00:00,yes,2020-03-01T05:01:13+00:00,yes,Other
6426432,https://webspanel.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=6426432,2020-03-01T04:11:31+00:00,yes,2020-03-01T04:12:35+00:00,yes,PayPal
6426431,https://aluminiosapdm.com/secureddr0pb0xaccessdocuments0019988392/document,http://www.phishtank.com/phish_detail.php?phish_id=6426431,2020-03-01T04:00:35+00:00,yes,2020-03-01T04:02:28+00:00,yes,Other
6426430,https://n4r7u.app.link/,http://www.phishtank.com/phish_detail.php?phish_id=6426430,2020-03-01T04:00:31+00:00,yes,2020-03-01T04:02:28+00:00,yes,Other
6426428,http://tggsg.93xr2.cn/,http://www.phishtank.com/phish_detail.php?phish_id=6426428,2020-03-01T03:53:51+00:00,yes,2020-03-01T03:55:06+00:00,yes,Amazon.com
6426418,http://demiddleeast.com/chaseonline.update/CHASE/assets/saved_resource.php?SERVID=Service_Login_&amp;_Authentication=99557e2df7900fff06c7753fde2e42cef32cf8d3,http://www.phishtank.com/phish_detail.php?phish_id=6426418,2020-03-01T03:01:46+00:00,yes,2020-03-01T03:07:12+00:00,yes,Other
6426419,http://demiddleeast.com/chaseonline.update/CHASE/assets/saved_resource.php?SERVID=Service_Login_&amp;_Authentication=99557e2df7900fff06c7753fde2e42cef32cf8d3&SERVID=Service_Login_&_Authentication=fa058f0ec9373f7d0cd10e256e2ca4ec63d4bde0,http://www.phishtank.com/phish_detail.php?phish_id=6426419,2020-03-01T03:01:46+00:00,yes,2020-03-01T03:07:12+00:00,yes,Other
6426417,http://demiddleeast.com/chaseonline.update/CHASE/vbv.php?websrc=e17ea285ad581008aac6b89b49ab879e&amp;SERVID=Service_Login_&amp;_Authentication=d73e4d20424b4913eb8aa8d3bc45e2c9a83f7153&SERVID=Service_Login_&_Authentication=d729ee8238a55f214f0ed1dd7a8a552ad768475a,http://www.phishtank.com/phish_detail.php?phish_id=6426417,2020-03-01T03:01:43+00:00,yes,2020-03-01T03:07:12+00:00,yes,Other
6426416,http://demiddleeast.com/chaseonline.update/CHASE/vbv.php?websrc=e17ea285ad581008aac6b89b49ab879e&amp;SERVID=Service_Login_&amp;_Authentication=d73e4d20424b4913eb8aa8d3bc45e2c9a83f7153,http://www.phishtank.com/phish_detail.php?phish_id=6426416,2020-03-01T03:01:41+00:00,yes,2020-03-01T03:07:12+00:00,yes,Other
6426415,http://demiddleeast.com/chaseonline.update/CHASE/access.php?websrc=e17ea285ad581008aac6b89b49ab879e&amp;dispatched=32&amp;id=7850191753&amp;SERVID=Service_Login_&amp;_Authentication=21642713e03d6683f33032ef7aefd9c5bdd5f552&SERVID=Service_Login_&_Authentication=7713abae6590a31e734ca0472c0455ce4765963e,http://www.phishtank.com/phish_detail.php?phish_id=6426415,2020-03-01T03:01:37+00:00,yes,2020-03-01T03:07:12+00:00,yes,Other
6426414,http://demiddleeast.com/chaseonline.update/CHASE/access.php?websrc=e17ea285ad581008aac6b89b49ab879e&amp;dispatched=32&amp;id=7850191753&amp;SERVID=Service_Login_&amp;_Authentication=21642713e03d6683f33032ef7aefd9c5bdd5f552,http://www.phishtank.com/phish_detail.php?phish_id=6426414,2020-03-01T03:01:36+00:00,yes,2020-03-01T03:04:59+00:00,yes,Other
6426413,https://ebay.co.uk.20912887347.bid/ws/?ebay/client_id=*,http://www.phishtank.com/phish_detail.php?phish_id=6426413,2020-03-01T03:01:33+00:00,yes,2020-03-01T03:04:59+00:00,yes,Other
6426412,http://ebay.co.uk.20912887347.bid/ws?ebay/client_id=*,http://www.phishtank.com/phish_detail.php?phish_id=6426412,2020-03-01T03:01:32+00:00,yes,2020-03-01T03:04:59+00:00,yes,Other
6426409,http://www.ksiegowoscmartax.pl/images/tmp/conferma-dati/1445df086a8fe5e7c271abfa96b89b02,http://www.phishtank.com/phish_detail.php?phish_id=6426409,2020-03-01T03:01:21+00:00,yes,2020-03-01T03:04:03+00:00,yes,Other
6426406,https://husigift.com/OMACH/FBG,http://www.phishtank.com/phish_detail.php?phish_id=6426406,2020-03-01T03:01:13+00:00,yes,2020-03-01T03:04:03+00:00,yes,Other
6426405,http://scotiabank.ca.3ss-23r-s0.com/s,http://www.phishtank.com/phish_detail.php?phish_id=6426405,2020-03-01T03:01:09+00:00,yes,2020-03-01T03:04:03+00:00,yes,Other
6426404,http://mail.return2020zhz.com/banks/Desjardins,http://www.phishtank.com/phish_detail.php?phish_id=6426404,2020-03-01T03:00:59+00:00,yes,2020-03-01T03:04:03+00:00,yes,Other
6426403,http://demiddleeast.com/chaseonline.update/CHASE/?&SERVID=Service_Login_&_Authentication=a2add1a57d59a90ecce1db233f7cdfe2629b6cb7,http://www.phishtank.com/phish_detail.php?phish_id=6426403,2020-03-01T03:00:55+00:00,yes,2020-03-01T03:03:06+00:00,yes,Other
